iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,l2_dimension
ARE,United Arab Emirates,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2022,100.0,Middle East and North Africa,High income,Recent (≤5 years),2,Skilled Birth Attendance,Services & Programme Coverage
ARG,Argentina,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,75.0,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ARG,Argentina,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2020,90.4,Latin America and Caribbean,Upper middle income,Recent (≤5 years),4,ANC 4+ Visits,Services & Programme Coverage
ARG,Argentina,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.3,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
ARG,Argentina,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2019,57.7382,Latin America and Caribbean,Upper middle income,Recent (≤5 years),5,Early Initiation of BF,Diets & Care (IYCF)
ARG,Argentina,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2011,31.9519,Latin America and Caribbean,Upper middle income,Outdated (>10 years),13,Exclusive BF <6m,Diets & Care (IYCF)
ARG,Argentina,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2011,63.8611,Latin America and Caribbean,Upper middle income,Outdated (>10 years),13,Minimum Meal Frequency,Diets & Care (IYCF)
ARM,Armenia,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,94.0,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ARM,Armenia,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2016,96.0,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,ANC 4+ Visits,Services & Programme Coverage
ARM,Armenia,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2016,99.8,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Skilled Birth Attendance,Services & Programme Coverage
ARM,Armenia,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2016,40.8796,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Early Initiation of BF,Diets & Care (IYCF)
ARM,Armenia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2016,44.4904,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Exclusive BF <6m,Diets & Care (IYCF)
ARM,Armenia,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2016,22.3229,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Minimum Acceptable Diet,Diets & Care (IYCF)
ARM,Armenia,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2016,36.3088,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Minimum Dietary Diversity,Diets & Care (IYCF)
ARM,Armenia,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2016,62.3639,Europe and Central Asia,Upper middle income,Dated (6-10 years),8,Minimum Meal Frequency,Diets & Care (IYCF)
ATG,Antigua and Barbuda,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,99.0,Latin America and Caribbean,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ATG,Antigua and Barbuda,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2013,100.0,Latin America and Caribbean,High income,Outdated (>10 years),11,ANC 4+ Visits,Services & Programme Coverage
ATG,Antigua and Barbuda,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,99.0,Latin America and Caribbean,High income,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_AMU,Arab Maghreb Union (AMU),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,93.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_AMU,Arab Maghreb Union (AMU),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,73.6,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_AMU,Arab Maghreb Union (AMU),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,95.1,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_AMU,Arab Maghreb Union (AMU),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,36.1974,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_AMU,Arab Maghreb Union (AMU),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,28.8595,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_AMU,Arab Maghreb Union (AMU),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,21.6594,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_AMU,Arab Maghreb Union (AMU),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,40.0645,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_AMU,Arab Maghreb Union (AMU),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,46.5991,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,75.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,57.6,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,69.2,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,43.0171,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,33.5011,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
