iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,l2_dimension
GUY,Guyana,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,98.0,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
GUY,Guyana,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2019,46.0431,Latin America and Caribbean,Upper middle income,Recent (≤5 years),5,Early Initiation of BF,Diets & Care (IYCF)
GUY,Guyana,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2019,28.5434,Latin America and Caribbean,Upper middle income,Recent (≤5 years),5,Exclusive BF <6m,Diets & Care (IYCF)
GUY,Guyana,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2014,35.8529,Latin America and Caribbean,Upper middle income,Dated (6-10 years),10,Minimum Acceptable Diet,Diets & Care (IYCF)
GUY,Guyana,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2019,40.3192,Latin America and Caribbean,Upper middle income,Recent (≤5 years),5,Minimum Dietary Diversity,Diets & Care (IYCF)
GUY,Guyana,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2014,61.0871,Latin America and Caribbean,Upper middle income,Dated (6-10 years),10,Minimum Meal Frequency,Diets & Care (IYCF)
HND,Honduras,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,75.0,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
HND,Honduras,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2019,88.3,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,ANC 4+ Visits,Services & Programme Coverage
HND,Honduras,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2019,94.1,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,Skilled Birth Attendance,Services & Programme Coverage
HND,Honduras,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2019,51.375,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,Early Initiation of BF,Diets & Care (IYCF)
HND,Honduras,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2019,30.2217,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,Exclusive BF <6m,Diets & Care (IYCF)
HND,Honduras,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2012,54.5998,Latin America and Caribbean,Lower middle income,Outdated (>10 years),12,Minimum Acceptable Diet,Diets & Care (IYCF)
HND,Honduras,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2019,57.3431,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,Minimum Dietary Diversity,Diets & Care (IYCF)
HND,Honduras,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2012,85.1029,Latin America and Caribbean,Lower middle income,Outdated (>10 years),12,Minimum Meal Frequency,Diets & Care (IYCF)
HRV,Croatia,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,92.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
HRV,Croatia,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2022,96.5,Europe and Central Asia,High income,Recent (≤5 years),2,ANC 4+ Visits,Services & Programme Coverage
HRV,Croatia,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.9,Europe and Central Asia,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
HTI,Haiti,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,60.0,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
HTI,Haiti,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2017,66.6,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,ANC 4+ Visits,Services & Programme Coverage
HTI,Haiti,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,75.6,Latin America and Caribbean,Lower middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
HTI,Haiti,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2023,48.0,Latin America and Caribbean,Lower middle income,Recent (≤5 years),1,Early Initiation of BF,Diets & Care (IYCF)
HTI,Haiti,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,39.8753,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,Exclusive BF <6m,Diets & Care (IYCF)
HTI,Haiti,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2017,11.1026,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,Minimum Acceptable Diet,Diets & Care (IYCF)
HTI,Haiti,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2017,19.1763,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,Minimum Dietary Diversity,Diets & Care (IYCF)
HTI,Haiti,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2017,39.25,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,Minimum Meal Frequency,Diets & Care (IYCF)
HUN,Hungary,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,99.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
HUN,Hungary,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,98.7,Europe and Central Asia,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
IDN,Indonesia,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,78.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
IDN,Indonesia,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2023,68.1,East Asia and Pacific,Lower middle income,Recent (≤5 years),1,ANC 4+ Visits,Services & Programme Coverage
IDN,Indonesia,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,96.8,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
IDN,Indonesia,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2018,58.2,East Asia and Pacific,Lower middle income,Dated (6-10 years),6,Early Initiation of BF,Diets & Care (IYCF)
IDN,Indonesia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,50.6726,East Asia and Pacific,Lower middle income,Dated (6-10 years),7,Exclusive BF <6m,Diets & Care (IYCF)
IDN,Indonesia,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2017,40.0233,East Asia and Pacific,Lower middle income,Dated (6-10 years),7,Minimum Acceptable Diet,Diets & Care (IYCF)
IDN,Indonesia,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2017,53.9253,East Asia and Pacific,Lower middle income,Dated (6-10 years),7,Minimum Dietary Diversity,Diets & Care (IYCF)
IDN,Indonesia,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2017,71.0665,East Asia and Pacific,Lower middle income,Dated (6-10 years),7,Minimum Meal Frequency,Diets & Care (IYCF)
IND,India,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,94.0,South Asia,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
IND,India,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2021,58.4,South Asia,Lower middle income,Recent (≤5 years),3,ANC 4+ Visits,Services & Programme Coverage
IND,India,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2021,89.4,South Asia,Lower middle income,Recent (≤5 years),3,Skilled Birth Attendance,Services & Programme Coverage
IND,India,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2020,41.4162,South Asia,Lower middle income,Recent (≤5 years),4,Early Initiation of BF,Diets & Care (IYCF)
IND,India,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2020,63.6885,South Asia,Lower middle income,Recent (≤5 years),4,Exclusive BF <6m,Diets & Care (IYCF)
IND,India,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2020,11.0996,South Asia,Lower middle income,Recent (≤5 years),4,Minimum Acceptable Diet,Diets & Care (IYCF)
IND,India,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2020,23.5529,South Asia,Lower middle income,Recent (≤5 years),4,Minimum Dietary Diversity,Diets & Care (IYCF)
IND,India,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2020,34.5698,South Asia,Lower middle income,Recent (≤5 years),4,Minimum Meal Frequency,Diets & Care (IYCF)
IRL,Ireland,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,92.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
IRL,Ireland,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2021,99.5,Europe and Central Asia,High income,Recent (≤5 years),3,Skilled Birth Attendance,Services & Programme Coverage
IRN,Iran (Islamic Republic of),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,98.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
IRN,Iran (Islamic Republic of),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2016,93.4,Middle East and North Africa,Upper middle income,Dated (6-10 years),8,ANC 4+ Visits,Services & Programme Coverage
IRN,Iran (Islamic Republic of),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
IRN,Iran (Islamic Republic of),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2017,80.6,Middle East and North Africa,Upper middle income,Dated (6-10 years),7,Early Initiation of BF,Diets & Care (IYCF)
IRN,Iran (Islamic Republic of),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,47.4,Middle East and North Africa,Upper middle income,Dated (6-10 years),7,Exclusive BF <6m,Diets & Care (IYCF)
IRN,Iran (Islamic Republic of),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2017,84.0,Middle East and North Africa,Upper middle income,Dated (6-10 years),7,Minimum Dietary Diversity,Diets & Care (IYCF)
IRQ,Iraq,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,90.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
IRQ,Iraq,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2018,67.9,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,ANC 4+ Visits,Services & Programme Coverage
IRQ,Iraq,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2021,96.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),3,Skilled Birth Attendance,Services & Programme Coverage
IRQ,Iraq,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2018,32.3583,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Early Initiation of BF,Diets & Care (IYCF)
IRQ,Iraq,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2018,25.8224,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Exclusive BF <6m,Diets & Care (IYCF)
IRQ,Iraq,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2018,34.1185,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Minimum Acceptable Diet,Diets & Care (IYCF)
IRQ,Iraq,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2018,44.5826,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Minimum Dietary Diversity,Diets & Care (IYCF)
IRQ,Iraq,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2018,74.3352,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Minimum Meal Frequency,Diets & Care (IYCF)
ISL,Iceland,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,94.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ISL,Iceland,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,97.6,Europe and Central Asia,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
ISR,Israel,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,98.0,Middle East and North Africa,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ISR,Israel,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.5,Middle East and North Africa,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
ITA,Italy,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,94.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
ITA,Italy,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2003,68.1,Europe and Central Asia,High income,Outdated (>10 years),21,ANC 4+ Visits,Services & Programme Coverage
ITA,Italy,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.9,Europe and Central Asia,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
JAM,Jamaica,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,99.0,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
JAM,Jamaica,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2021,83.6,Latin America and Caribbean,Upper middle income,Recent (≤5 years),3,ANC 4+ Visits,Services & Programme Coverage
JAM,Jamaica,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,98.8,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
JAM,Jamaica,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2011,64.719,Latin America and Caribbean,Upper middle income,Outdated (>10 years),13,Early Initiation of BF,Diets & Care (IYCF)
JAM,Jamaica,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,32.9926,Latin America and Caribbean,Upper middle income,Recent (≤5 years),2,Exclusive BF <6m,Diets & Care (IYCF)
JAM,Jamaica,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2022,33.354,Latin America and Caribbean,Upper middle income,Recent (≤5 years),2,Minimum Acceptable Diet,Diets & Care (IYCF)
JAM,Jamaica,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2022,51.3693,Latin America and Caribbean,Upper middle income,Recent (≤5 years),2,Minimum Dietary Diversity,Diets & Care (IYCF)
JAM,Jamaica,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2022,60.6592,Latin America and Caribbean,Upper middle income,Recent (≤5 years),2,Minimum Meal Frequency,Diets & Care (IYCF)
JOR,Jordan,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,96.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
JOR,Jordan,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2023,93.1,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,ANC 4+ Visits,Services & Programme Coverage
JOR,Jordan,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.9,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
JOR,Jordan,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2023,33.7693,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Early Initiation of BF,Diets & Care (IYCF)
JOR,Jordan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,23.9101,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Exclusive BF <6m,Diets & Care (IYCF)
JOR,Jordan,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2023,27.2309,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Minimum Acceptable Diet,Diets & Care (IYCF)
JOR,Jordan,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2023,42.4242,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Minimum Dietary Diversity,Diets & Care (IYCF)
JOR,Jordan,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2023,59.8446,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Minimum Meal Frequency,Diets & Care (IYCF)
JPN,Japan,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,99.0,East Asia and Pacific,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
JPN,Japan,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.8,East Asia and Pacific,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
KAZ,Kazakhstan,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,98.0,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
KAZ,Kazakhstan,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2015,95.3,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,ANC 4+ Visits,Services & Programme Coverage
KAZ,Kazakhstan,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2018,99.9,Europe and Central Asia,Upper middle income,Dated (6-10 years),6,Skilled Birth Attendance,Services & Programme Coverage
KAZ,Kazakhstan,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2015,83.2887,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Early Initiation of BF,Diets & Care (IYCF)
KAZ,Kazakhstan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2015,37.7719,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Exclusive BF <6m,Diets & Care (IYCF)
KAZ,Kazakhstan,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2015,36.6726,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Minimum Acceptable Diet,Diets & Care (IYCF)
KAZ,Kazakhstan,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2015,48.9808,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Minimum Dietary Diversity,Diets & Care (IYCF)
KAZ,Kazakhstan,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2015,73.208,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Minimum Meal Frequency,Diets & Care (IYCF)
KEN,Kenya,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,91.0,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
KEN,Kenya,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2022,66.0,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,ANC 4+ Visits,Services & Programme Coverage
KEN,Kenya,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2022,89.3,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Skilled Birth Attendance,Services & Programme Coverage
KEN,Kenya,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2022,60.1271,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Early Initiation of BF,Diets & Care (IYCF)
KEN,Kenya,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,59.7122,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Exclusive BF <6m,Diets & Care (IYCF)
KEN,Kenya,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2022,30.6664,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Minimum Acceptable Diet,Diets & Care (IYCF)
KEN,Kenya,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2022,36.9253,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Minimum Dietary Diversity,Diets & Care (IYCF)
KEN,Kenya,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2022,70.9052,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Minimum Meal Frequency,Diets & Care (IYCF)
KGZ,Kyrgyzstan,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,85.0,Europe and Central Asia,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
KGZ,Kyrgyzstan,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2023,94.4,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,ANC 4+ Visits,Services & Programme Coverage
KGZ,Kyrgyzstan,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,99.8,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
KGZ,Kyrgyzstan,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2023,73.2173,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Early Initiation of BF,Diets & Care (IYCF)
KGZ,Kyrgyzstan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,44.2549,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Exclusive BF <6m,Diets & Care (IYCF)
KGZ,Kyrgyzstan,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2023,50.515,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Minimum Acceptable Diet,Diets & Care (IYCF)
KGZ,Kyrgyzstan,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2023,65.7408,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Minimum Dietary Diversity,Diets & Care (IYCF)
KGZ,Kyrgyzstan,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2023,77.778,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Minimum Meal Frequency,Diets & Care (IYCF)
KHM,Cambodia,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,83.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
KHM,Cambodia,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2022,86.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),2,ANC 4+ Visits,Services & Programme Coverage
KHM,Cambodia,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2022,98.7,East Asia and Pacific,Lower middle income,Recent (≤5 years),2,Skilled Birth Attendance,Services & Programme Coverage
KHM,Cambodia,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2021,53.9956,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Early Initiation of BF,Diets & Care (IYCF)
KHM,Cambodia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2021,50.2936,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Exclusive BF <6m,Diets & Care (IYCF)
KHM,Cambodia,NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2021,42.0349,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Minimum Acceptable Diet,Diets & Care (IYCF)
KHM,Cambodia,NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2021,48.6445,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Minimum Dietary Diversity,Diets & Care (IYCF)
KHM,Cambodia,NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2021,81.6674,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Minimum Meal Frequency,Diets & Care (IYCF)
KIR,Kiribati,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,94.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
KIR,Kiribati,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2019,67.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),5,ANC 4+ Visits,Services & Programme Coverage
KIR,Kiribati,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2019,91.9,East Asia and Pacific,Lower middle income,Recent (≤5 years),5,Skilled Birth Attendance,Services & Programme Coverage
KIR,Kiribati,NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2018,45.5991,East Asia and Pacific,Lower middle income,Dated (6-10 years),6,Early Initiation of BF,Diets & Care (IYCF)
KIR,Kiribati,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2018,63.5852,East Asia and Pacific,Lower middle income,Dated (6-10 years),6,Exclusive BF <6m,Diets & Care (IYCF)
