iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
GHA,Ghana,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,1.7962,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GHA,Ghana,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,52.5853,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Excl. Breastfeeding,Insufficient progress
GHA,Ghana,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.4159,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
GIN,Guinea,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,45.7,Sub-Saharan Africa,Low income,Recent (≤5 years),1,Anaemia (WRA),On track
GIN,Guinea,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,26.631,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Stunting,Off track
GIN,Guinea,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.4056,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GIN,Guinea,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,43.7,Sub-Saharan Africa,Low income,Recent (≤5 years),2,Excl. Breastfeeding,Off track
GMB,Gambia,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,46.1,Sub-Saharan Africa,Low income,Recent (≤5 years),1,Anaemia (WRA),On track
GMB,Gambia,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,13.9945,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Stunting,Insufficient progress
GMB,Gambia,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.7328,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GMB,Gambia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2020,53.6345,Sub-Saharan Africa,Low income,Recent (≤5 years),4,Excl. Breastfeeding,Insufficient progress
GMB,Gambia,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.2491,Sub-Saharan Africa,Low income,Recent (≤5 years),4,Low Birth Weight,On track
GNB,Guinea-Bissau,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,45.7,Sub-Saharan Africa,Low income,Recent (≤5 years),1,Anaemia (WRA),On track
GNB,Guinea-Bissau,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,28.3146,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Stunting,Off track
GNB,Guinea-Bissau,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.6045,Sub-Saharan Africa,Low income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GNB,Guinea-Bissau,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2019,59.3486,Sub-Saharan Africa,Low income,Recent (≤5 years),5,Excl. Breastfeeding,Insufficient progress
GNB,Guinea-Bissau,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,19.5489,Sub-Saharan Africa,Low income,Recent (≤5 years),4,Low Birth Weight,On track
GNQ,Equatorial Guinea,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,41.3,Sub-Saharan Africa,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
GNQ,Equatorial Guinea,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,17.1437,Sub-Saharan Africa,Upper middle income,Recent (≤5 years),0,Stunting,Off track
GNQ,Equatorial Guinea,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,7.4615,Sub-Saharan Africa,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GNQ,Equatorial Guinea,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2011,7.4,Sub-Saharan Africa,Upper middle income,Outdated (>10 years),13,Excl. Breastfeeding,Data outdated
GRC,Greece,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,15.6,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
GRC,Greece,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,1.9711,Europe and Central Asia,High income,Recent (≤5 years),0,Stunting,On track
GRC,Greece,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,13.4846,Europe and Central Asia,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GRC,Greece,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.4059,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
GRD,Grenada,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,20.9,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
GTM,Guatemala,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,10.5,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
GTM,Guatemala,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,44.5876,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Stunting,Off track
GTM,Guatemala,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.7429,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GTM,Guatemala,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2021,58.5,Latin America and Caribbean,Upper middle income,Recent (≤5 years),3,Excl. Breastfeeding,Insufficient progress
GTM,Guatemala,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.4944,Latin America and Caribbean,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
GUY,Guyana,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,37.5,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
GUY,Guyana,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,7.0904,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Stunting,On track
GUY,Guyana,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.9794,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
GUY,Guyana,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2019,28.5434,Latin America and Caribbean,Upper middle income,Recent (≤5 years),5,Excl. Breastfeeding,Off track
GUY,Guyana,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,17.1631,Latin America and Caribbean,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
HND,Honduras,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,18.8,Latin America and Caribbean,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
HND,Honduras,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,17.8803,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,Stunting,Off track
HND,Honduras,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.1966,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
HND,Honduras,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2019,30.2217,Latin America and Caribbean,Lower middle income,Recent (≤5 years),5,Excl. Breastfeeding,Off track
HND,Honduras,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.0945,Latin America and Caribbean,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
HRV,Croatia,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,23.3,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
HRV,Croatia,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,4.9945,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
HTI,Haiti,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,45.9,Latin America and Caribbean,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
HTI,Haiti,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,21.5532,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,Stunting,Off track
HTI,Haiti,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.906,Latin America and Caribbean,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
HTI,Haiti,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,39.8753,Latin America and Caribbean,Lower middle income,Dated (6-10 years),7,Excl. Breastfeeding,Off track
HUN,Hungary,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,24.1,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
HUN,Hungary,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,8.3165,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
IDN,Indonesia,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,26.7,East Asia and Pacific,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
IDN,Indonesia,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,22.6396,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Stunting,Off track
IDN,Indonesia,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.6028,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
IDN,Indonesia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,50.6726,East Asia and Pacific,Lower middle income,Dated (6-10 years),7,Excl. Breastfeeding,Insufficient progress
IDN,Indonesia,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,9.9342,East Asia and Pacific,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
IND,India,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,53.7,South Asia,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),Insufficient progress
IND,India,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,32.9066,South Asia,Lower middle income,Recent (≤5 years),0,Stunting,Off track
IND,India,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.7015,South Asia,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
IND,India,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2020,63.6885,South Asia,Lower middle income,Recent (≤5 years),4,Excl. Breastfeeding,On track
IND,India,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,27.4353,South Asia,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
IRL,Ireland,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,14.0,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
IRL,Ireland,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.159,Europe and Central Asia,High income,Recent (≤5 years),0,Stunting,On track
IRL,Ireland,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,11.1793,Europe and Central Asia,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
IRL,Ireland,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,5.6457,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
IRN,Iran (Islamic Republic of),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,25.5,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
IRN,Iran (Islamic Republic of),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.828,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Stunting,On track
IRN,Iran (Islamic Republic of),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.7424,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
IRN,Iran (Islamic Republic of),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2017,47.4,Middle East and North Africa,Upper middle income,Dated (6-10 years),7,Excl. Breastfeeding,Insufficient progress
IRQ,Iraq,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,27.1,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
IRQ,Iraq,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,9.4151,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Stunting,On track
IRQ,Iraq,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.6076,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
IRQ,Iraq,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2018,25.8224,Middle East and North Africa,Upper middle income,Dated (6-10 years),6,Excl. Breastfeeding,Off track
IRQ,Iraq,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,10.8614,Middle East and North Africa,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
ISL,Iceland,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,14.7,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
ISL,Iceland,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,3.9928,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
ISR,Israel,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,14.6,Middle East and North Africa,High income,Recent (≤5 years),1,Anaemia (WRA),On track
ISR,Israel,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,8.9839,Middle East and North Africa,High income,Recent (≤5 years),4,Low Birth Weight,On track
ITA,Italy,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,16.4,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
ITA,Italy,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,7.2106,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
JAM,Jamaica,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,21.5,Latin America and Caribbean,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
JAM,Jamaica,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,6.8575,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Stunting,On track
JAM,Jamaica,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.0607,Latin America and Caribbean,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
JAM,Jamaica,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,32.9926,Latin America and Caribbean,Upper middle income,Recent (≤5 years),2,Excl. Breastfeeding,Off track
JAM,Jamaica,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.6812,Latin America and Caribbean,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
JOR,Jordan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,33.0,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
JOR,Jordan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,7.6614,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Stunting,On track
JOR,Jordan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,10.6022,Middle East and North Africa,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
JOR,Jordan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,23.9101,Middle East and North Africa,Upper middle income,Recent (≤5 years),1,Excl. Breastfeeding,Off track
JOR,Jordan,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,18.9367,Middle East and North Africa,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
JPN,Japan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,18.7,East Asia and Pacific,High income,Recent (≤5 years),1,Anaemia (WRA),On track
JPN,Japan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.1694,East Asia and Pacific,High income,Recent (≤5 years),0,Stunting,On track
JPN,Japan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,1.9618,East Asia and Pacific,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
JPN,Japan,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.3047,East Asia and Pacific,High income,Recent (≤5 years),4,Low Birth Weight,On track
KAZ,Kazakhstan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,30.5,Europe and Central Asia,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
KAZ,Kazakhstan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.4346,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,Stunting,On track
KAZ,Kazakhstan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,8.7274,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KAZ,Kazakhstan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2015,37.7719,Europe and Central Asia,Upper middle income,Dated (6-10 years),9,Excl. Breastfeeding,Data outdated
KAZ,Kazakhstan,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,5.2911,Europe and Central Asia,Upper middle income,Recent (≤5 years),4,Low Birth Weight,On track
KEN,Kenya,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,32.2,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
KEN,Kenya,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,17.9087,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,Stunting,Off track
KEN,Kenya,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.3344,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KEN,Kenya,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2022,59.7122,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),2,Excl. Breastfeeding,Insufficient progress
KEN,Kenya,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,9.9711,Sub-Saharan Africa,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
KGZ,Kyrgyzstan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,32.9,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
KGZ,Kyrgyzstan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,11.0389,Europe and Central Asia,Lower middle income,Recent (≤5 years),0,Stunting,Insufficient progress
KGZ,Kyrgyzstan,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,9.8526,Europe and Central Asia,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KGZ,Kyrgyzstan,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2023,44.2549,Europe and Central Asia,Lower middle income,Recent (≤5 years),1,Excl. Breastfeeding,Off track
KGZ,Kyrgyzstan,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,6.0377,Europe and Central Asia,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
KHM,Cambodia,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,38.0,East Asia and Pacific,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
KHM,Cambodia,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,21.9644,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Stunting,Off track
KHM,Cambodia,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.6724,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KHM,Cambodia,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2021,50.2936,East Asia and Pacific,Lower middle income,Recent (≤5 years),3,Excl. Breastfeeding,Insufficient progress
KHM,Cambodia,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.449,East Asia and Pacific,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
KIR,Kiribati,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,26.9,East Asia and Pacific,Lower middle income,Recent (≤5 years),1,Anaemia (WRA),On track
KIR,Kiribati,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,14.655,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Stunting,Insufficient progress
KIR,Kiribati,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.1147,East Asia and Pacific,Lower middle income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KIR,Kiribati,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2018,63.5852,East Asia and Pacific,Lower middle income,Dated (6-10 years),6,Excl. Breastfeeding,On track
KIR,Kiribati,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,9.0314,East Asia and Pacific,Lower middle income,Recent (≤5 years),4,Low Birth Weight,On track
KNA,Saint Kitts and Nevis,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,19.4,Latin America and Caribbean,High income,Recent (≤5 years),1,Anaemia (WRA),On track
KOR,Republic of Korea,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,15.7,East Asia and Pacific,High income,Recent (≤5 years),1,Anaemia (WRA),On track
KOR,Republic of Korea,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,1.8301,East Asia and Pacific,High income,Recent (≤5 years),0,Stunting,On track
KOR,Republic of Korea,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.4947,East Asia and Pacific,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
KOR,Republic of Korea,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,7.4631,East Asia and Pacific,High income,Recent (≤5 years),4,Low Birth Weight,On track
KWT,Kuwait,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,27.7,Middle East and North Africa,High income,Recent (≤5 years),1,Anaemia (WRA),On track
