iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
ATG,Antigua and Barbuda,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,20.3,Latin America and Caribbean,High income,Recent (≤5 years),1,Anaemia (WRA),On track
ATG,Antigua and Barbuda,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,15.3555,Latin America and Caribbean,High income,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_AMU,Arab Maghreb Union (AMU),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,31.2708,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_AMU,Arab Maghreb Union (AMU),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,11.432,,,Recent (≤5 years),0,Stunting,Insufficient progress
AUREC_AMU,Arab Maghreb Union (AMU),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,9.3482,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_AMU,Arab Maghreb Union (AMU),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,28.8595,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AUREC_AMU,Arab Maghreb Union (AMU),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,10.3136,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,38.6953,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,27.397,,,Recent (≤5 years),0,Stunting,Off track
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.5057,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,33.5011,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.5113,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,31.3697,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,31.3784,,,Recent (≤5 years),0,Stunting,Off track
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.7728,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,53.8249,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.8531,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_EAC,East African Community (EAC),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,34.8655,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_EAC,East African Community (EAC),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,33.7672,,,Recent (≤5 years),0,Stunting,Off track
AUREC_EAC,East African Community (EAC),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.2803,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_EAC,East African Community (EAC),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,59.4807,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AUREC_EAC,East African Community (EAC),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.3119,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,39.8042,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,40.4418,,,Recent (≤5 years),0,Stunting,Off track
