Framework Layer,Dimension,Indicators in toolkit,Data available now,Data gap (partial or none)
Layer 4: Enabling Environment,Governance,5,4,1
Layer 4: Enabling Environment,Resources,4,4,0
Layer 4: Enabling Environment,Norms,3,1,2
