iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AND,Andorra,2020,NT_BW_LBW,Low Birth Weight,Layer 1,9.3949,4,,,21.666666666666664,33.33333333333333,10.0
ARE,United Arab Emirates,2024,IM_DTP3,DTP3 Coverage,Layer 2,96.0,0,Middle East and North Africa,High income,26.666666666666664,33.33333333333333,20.0
ARE,United Arab Emirates,2022,MNCH_SAB,Skilled Birth Attendance,Layer 2,100.0,2,Middle East and North Africa,High income,26.666666666666664,33.33333333333333,20.0
ARE,United Arab Emirates,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,28.2,1,Middle East and North Africa,High income,26.666666666666664,33.33333333333333,20.0
ARE,United Arab Emirates,2020,NT_BW_LBW,Low Birth Weight,Layer 1,13.9407,4,Middle East and North Africa,High income,26.666666666666664,33.33333333333333,20.0
ARG,Argentina,2024,IM_DTP3,DTP3 Coverage,Layer 2,75.0,0,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2020,MNCH_ANC4,ANC 4+ Visits,Layer 2,90.4,4,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2023,MNCH_SAB,Skilled Birth Attendance,Layer 2,99.3,1,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,23.5,1,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,10.6918,0,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,14.2751,0,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2019,NT_BF_EIBF,Early BF Initiation,Layer 2,57.7382,5,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2011,NT_BF_EXBF,Excl. BF,Layer 1,31.9519,13,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2020,NT_BW_LBW,Low Birth Weight,Layer 1,7.3616,4,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARG,Argentina,2011,NT_CF_MMF,Min Meal Frequency,Layer 2,63.8611,13,Latin America and Caribbean,Upper middle income,53.33333333333333,66.66666666666666,40.0
ARM,Armenia,2024,IM_DTP3,DTP3 Coverage,Layer 2,94.0,0,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,MNCH_ANC4,ANC 4+ Visits,Layer 2,96.0,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,MNCH_SAB,Skilled Birth Attendance,Layer 2,99.8,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,18.7,1,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,6.1748,0,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,12.867,0,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,NT_BF_EIBF,Early BF Initiation,Layer 2,40.8796,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,NT_BF_EXBF,Excl. BF,Layer 1,44.4904,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2020,NT_BW_LBW,Low Birth Weight,Layer 1,8.2723,4,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,NT_CF_MAD,Min Acceptable Diet,Layer 2,22.3229,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,NT_CF_MDD,Min Dietary Diversity,Layer 2,36.3088,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ARM,Armenia,2016,NT_CF_MMF,Min Meal Frequency,Layer 2,62.3639,8,Europe and Central Asia,Upper middle income,38.33333333333333,66.66666666666666,10.0
ATG,Antigua and Barbuda,2024,IM_DTP3,DTP3 Coverage,Layer 2,99.0,0,Latin America and Caribbean,High income,26.666666666666664,33.33333333333333,20.0
ATG,Antigua and Barbuda,2013,MNCH_ANC4,ANC 4+ Visits,Layer 2,100.0,11,Latin America and Caribbean,High income,26.666666666666664,33.33333333333333,20.0
ATG,Antigua and Barbuda,2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,99.0,0,Latin America and Caribbean,High income,26.666666666666664,33.33333333333333,20.0
ATG,Antigua and Barbuda,2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,20.3,1,Latin America and Caribbean,High income,26.666666666666664,33.33333333333333,20.0
ATG,Antigua and Barbuda,2020,NT_BW_LBW,Low Birth Weight,Layer 1,15.3555,4,Latin America and Caribbean,High income,26.666666666666664,33.33333333333333,20.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,IM_DTP3,DTP3 Coverage,Layer 2,93.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,73.6,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,95.1,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,31.2708,1,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,11.432,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,9.3482,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,36.1974,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_BF_EXBF,Excl. BF,Layer 1,28.8595,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2020,NT_BW_LBW,Low Birth Weight,Layer 1,10.3136,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,21.6594,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,40.0645,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_AMU,Arab Maghreb Union (AMU),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,46.5991,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,IM_DTP3,DTP3 Coverage,Layer 2,75.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,57.6,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,69.2,0,,,76.66666666666667,83.33333333333334,70.0
