iso3,country,region,income_group,Anaemia (WRA),Excl. Breastfeeding,Low Birth Weight,Overweight,Stunting
GUY,Guyana,Latin America and Caribbean,Upper middle income,37.5,28.5434,17.1631,4.9794,7.0904
HND,Honduras,Latin America and Caribbean,Lower middle income,18.8,30.2217,13.0945,4.1966,17.8803
HRV,Croatia,Europe and Central Asia,High income,23.3,,4.9945,,
HTI,Haiti,Latin America and Caribbean,Lower middle income,45.9,39.8753,,3.906,21.5532
HUN,Hungary,Europe and Central Asia,High income,24.1,,8.3165,,
IDN,Indonesia,East Asia and Pacific,Lower middle income,26.7,50.6726,9.9342,2.6028,22.6396
IND,India,South Asia,Lower middle income,53.7,63.6885,27.4353,3.7015,32.9066
IRL,Ireland,Europe and Central Asia,High income,14.0,,5.6457,11.1793,2.159
IRN,Iran (Islamic Republic of),Middle East and North Africa,Upper middle income,25.5,47.4,,2.7424,4.828
IRQ,Iraq,Middle East and North Africa,Upper middle income,27.1,25.8224,10.8614,4.6076,9.4151
ISL,Iceland,Europe and Central Asia,High income,14.7,,3.9928,,
ISR,Israel,Middle East and North Africa,High income,14.6,,8.9839,,
ITA,Italy,Europe and Central Asia,High income,16.4,,7.2106,,
JAM,Jamaica,Latin America and Caribbean,Upper middle income,21.5,32.9926,13.6812,5.0607,6.8575
JOR,Jordan,Middle East and North Africa,Upper middle income,33.0,23.9101,18.9367,10.6022,7.6614
JPN,Japan,East Asia and Pacific,High income,18.7,,11.3047,1.9618,5.1694
KAZ,Kazakhstan,Europe and Central Asia,Upper middle income,30.5,37.7719,5.2911,8.7274,4.4346
KEN,Kenya,Sub-Saharan Africa,Lower middle income,32.2,59.7122,9.9711,4.3344,17.9087
KGZ,Kyrgyzstan,Europe and Central Asia,Lower middle income,32.9,44.2549,6.0377,9.8526,11.0389
KHM,Cambodia,East Asia and Pacific,Lower middle income,38.0,50.2936,11.449,5.6724,21.9644
KIR,Kiribati,East Asia and Pacific,Lower middle income,26.9,63.5852,9.0314,2.1147,14.655
KNA,Saint Kitts and Nevis,Latin America and Caribbean,High income,19.4,,,,
KOR,Republic of Korea,East Asia and Pacific,High income,15.7,,7.4631,5.4947,1.8301
KWT,Kuwait,Middle East and North Africa,High income,27.7,,14.366,10.0813,4.456
LAO,Lao People's Democratic Republic,East Asia and Pacific,Lower middle income,28.6,50.3193,16.7323,3.7132,29.8514
LBN,Lebanon,Middle East and North Africa,Upper middle income,34.0,22.7,12.5996,4.5351,10.0694
